group,n_features,baseline_auc,permuted_auc,auc_drop_mean,auc_drop_std
Источник: текущая заявка,162,0.7941272171739879,0.6399865167394865,0.1541407004345015,0.0026303343069011696
V2: все новые признаки,1082,0.7941272171739879,0.7543201517245366,0.03980706544945132,0.0027310366851388827
Источник: bureau,1160,0.7941272171739879,0.7743551619689188,0.019772055205068993,0.0012545137223841638
Источник: installments,213,0.7941272171739879,0.7771184853565414,0.017008731817446533,0.0020104029808870913
V2: недавние временные окна,798,0.7941272171739879,0.7778317820136952,0.01629543516029277,0.0004641995115984733
Источник: previous_application,679,0.7941272171739879,0.7792142623472158,0.014912954826772106,0.0013624030700746946
Источник: POS_CASH,187,0.7941272171739879,0.7868032425219383,0.007323974652049592,0.0007903413349590919
Источник: credit_card,307,0.7941272171739879,0.7880381814773164,0.006089035696671496,0.00046766781928635946
V2: новые взаимодействия анкеты,9,0.7941272171739879,0.789014594700346,0.005112622473642014,0.0009444268717959129
V2: агрегаты отдельных договоров,138,0.7941272171739879,0.7918922061543364,0.002235011019651445,0.000495876334788587
V2: последние 1/3/5 событий,90,0.7941272171739879,0.7921590903775633,0.0019681267964246187,0.0003038468269429193
